47.0302378;15.4050312;motorcycle;Hein Gericke;Mo-Fr 09:00-19:30 Sa 09:00-17:00;http://www.hein-gericke.at/
47.1071721;15.4206834;computer;Ulbel & Freidorfer;Mo-Fr 09:00-17:00;http://www.stcomputer.at/
47.1032727;15.4215534;kiosk;Tabak Trafik;;
47.0704352;15.4396820;household;Klammerth;Mo-Fr 09:00-18:00  Sa 09:00-17:00;http://www.klammerth.at/
47.0711831;15.4209961;furniture;Leiner;Mo-Fr 09:00-18:30  Sa 09:00-18:00;https://www.leiner.at/filialen/leiner-graz
47.0714518;15.4357068;sports;Giga-Sport;Mo-Fr 09:30-19:00  Sa 09:30-18:00;
47.0774821;15.4347412;bakery;Schloßbergbäckerei;Sa 06:00-12:00  Mo-Fr 06:00-13:30;
47.0591673;15.4340364;massage;Physio + Mur;;
47.0679752;15.4259352;outdoor;Northland;Mo-Fr 09:00-18:30  Sa 09:00-17:00;http://www.northland-pro.com/de/
47.0642427;15.4315653;supermarket;Kemal Ünal KG;Mo-Fr 08:00-19:30  Sa 07:00-18:30;
47.0667239;15.4277865;bicycle;Evolution Sports;Mo-Fr 09:30-12:00,15:00-18:00;http://members.inode.at/evol.sports/main.htm
47.0696923;15.4277883;bicycle;Radsport Vychodil;Mo-Fr 08:00-18:00  Sa 09:00-12:00;www.radsportvychodil.at
47.0707865;15.4363714;bakery;Sorger;Mo-Fr 14:30-18:00  Sa 10:00-14:00  Su, PH off;http://www.sorgerbrot.at
47.0684275;15.4397231;bakery;Martin Auer;Mo- Fr 06:30-19:00 Sa 07:00-18:00  Su,Ph 08:00-18:00;
47.0668764;15.4409424;stationery;Füllfederhaus M. Störtz;Mo-Fr 09:00-18:00  Sa 09:00-13:00;
47.0706557;15.4370951;household;Küchenfee;Mo-Fr 09:00-17:00;
47.0669785;15.4441115;books;Avalon;Mo-Fr 09:00-18:00  Sa 09:00-13:00;http://www.avalon.co.at/kontakt.php
